Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest
SPXW251224C06660000,11/24/2025 12:42,6660,165.82,163,164.1,0,0.00%,2,0
SPXW251224C06670000,11/24/2025 16:08,6670,160.82,156.2,157.3,0,0.00%,6,0
SPXW251224C06675000,11/24/2025 11:37,6675,151.78,153,154.1,0,0.00%,7,0
SPXW251224C06680000,11/24/2025 14:21,6680,153.93,149.3,150.5,0,0.00%,10,0
SPXW251224C06700000,11/24/2025 16:08,6700,140.97,136.3,137.4,0,0.00%,182,0
SPXW251224C06725000,11/24/2025 15:59,6725,125.2,120.9,122.1,0,0.00%,22,0
SPXW251224C06750000,11/24/2025 15:05,6750,110.53,106.2,107.3,0,0.00%,11,0
SPXW251224C06775000,11/24/2025 14:45,6775,93.85,92.3,93.4,0,0.00%,53,0
SPXW251224C06800000,11/24/2025 16:06,6800,82.2,79.7,80.8,0,0.00%,13,0
SPXW251224C06825000,11/24/2025 16:06,6825,70.4,68,69.1,0,0.00%,5,0
