Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPXW251224P06670000,11/24/2025 3:57 PM,6670,105.4,104.4,105.6,0,0.00%,-,-,16.00%
SPXW251224P06675000,11/24/2025 3:57 PM,6675,107.73,106.9,108,0,0.00%,6,0,16.01%
SPXW251224P06680000,11/24/2025 2:21 PM,6680,108.61,108.6,109.9,0,0.00%,7,0,15.95%
SPXW251224P06690000,11/24/2025 2:30 PM,6690,113.9,110.6,111.6,0,0.00%,-,-,15.54%
SPXW251224P06700000,11/24/2025 2:44 PM,6700,118.5,115.4,116.5,0,0.00%,86,0,15.53%
SPXW251224P06725000,11/24/2025 3:51 PM,6725,125.9,125,126.2,0,0.00%,12,0,15.11%
SPXW251224P06750000,11/20/2025 10:55 AM,6750,121.52,135.1,136.2,0,0.00%,-,0,14.60%
SPXW251224P06775000,11/24/2025 2:44 PM,6775,149.4,146.6,147.7,0,0.00%,8,0,14.17%
SPXW251224P06800000,11/24/2025 3:59 PM,6800,155.56,158.4,159.5,0,0.00%,1,0,13.64%
SPXW251224P06825000,11/20/2025 2:34 PM,6825,279.61,171.7,172.9,0,0.00%,-,0,13.18%
